,Incident year,Number of Dead,Lat,Long
273,2015,1.0,32.6434314, -115.785945
274,2015,1.0,32.328533, -113.261717
275,2015,1.0,31.92171, -112.90196
276,2015,1.0,31.81835, -112.533867
277,2015,1.0,32.0523, -113.00292
278,2015,1.0,32.33183, -113.10583
279,2015,1.0,32.33203, -113.10583
280,2015,1.0,31.74916, -112.15516
281,2015,1.0,32.323583, -113.10095
282,2015,1.0,31.63683, -111.96318
283,2015,1.0,28.5969909, -100.720786
284,2015,1.0,31.52895, -109.09437
285,2015,1.0,32.20948, -111.48673
286,2015,1.0,32.30317, -113.09
287,2015,1.0,25.89133265, -97.505347
288,2015,1.0,32.924565, -112.223983
289,2015,5.0,29.0416038, -96.785058
290,2015,1.0,31.72451, -111.96446
291,2015,1.0,31.86743, -112.74258
292,2015,1.0,29.3621053, -100.911821
293,2015,1.0,32.04636, -113.0097
294,2015,1.0,32.82177, -112.04187
295,2015,1.0,29.3927555, -100.901071
296,2015,1.0,32.7383173, -114.643359
297,2015,1.0,32.15423, -112.33682
298,2015,1.0,32.819135, -111.963106
299,2015,1.0,32.0013, -112.122299
300,2015,1.0,32.1796, -113.07685
301,2015,1.0,32.334317, -113.102
302,2015,1.0,32.258783, -112.9721
303,2015,1.0,27.4753053, -99.486183
304,2015,1.0,32.192563, -110.961395
305,2015,1.0,31.40025, -110.95995
306,2015,1.0,27.4688428, -99.557493
307,2015,1.0,27.4688428, -99.557493
308,2015,1.0,29.5150912, -102.82785
309,2015,1.0,29.7110679, -101.569381
310,2015,1.0,31.70077, -111.14907
311,2015,1.0,31.589933, -111.362767
312,2015,1.0,31.64675, -111.15327
313,2015,1.0,31.308619, -110.942166
314,2015,1.0,32.596, -111.70938
315,2015,1.0,32.216783, -113.147133
316,2015,1.0,32.13884, -112.99014
317,2015,1.0,32.26505, -113.16132
318,2015,1.0,31.511, -111.561833
319,2015,1.0,26.0312262, -98.366243
320,2015,1.0,27.6426468, -99.630232
321,2015,1.0,28.6897718, -100.533405
322,2015,1.0,29.337391, -100.941227
323,2015,1.0,29.8171253, -101.88653
324,2015,1.0,31.685417, -111.6613
325,2015,1.0,31.6129, -111.51831
326,2015,1.0,27.4688428, -99.557493
327,2015,2.0,27.5338623, -99.553539
328,2015,1.0,32.2947, -112.56382
329,2015,1.0,32.6737649, -115.525847
330,2015,1.0,32.686457, -115.485963
331,2015,1.0,32.668019, -115.502043
332,2015,1.0,32.29104, -112.838707
333,2015,1.0,28.6779788, -100.521305
334,2015,1.0,31.34265, -110.266267
335,2015,1.0,28.706139, -100.512441
336,2015,1.0,31.75735, -111.778467
337,2015,1.0,32.012064, -111.29569
338,2015,1.0,31.7475, -111.63482
339,2015,1.0,32.02188, -112.14597
