Website Date,Number of Dead
2016-08-23,1.0
2016-08-24,1.0
2016-08-26,1.0
2016-08-26,1.0
2016-08-26,1.0
2016-08-27,1.0
2016-08-29,1.0
2016-08-30,1.0
2016-08-31,6.0
2016-09-02,1.0
2016-09-02,1.0
2016-09-02,1.0
2016-09-03,1.0
2016-09-03,1.0
2016-09-03,1.0
2016-09-06,1.0
2016-09-07,1.0
2016-09-07,1.0
2016-09-08,1.0
2016-09-10,1.0
2016-09-11,1.0
2016-09-11,1.0
2016-09-12,1.0
2016-09-12,1.0
2016-09-13,1.0
2016-09-13,1.0
2016-09-14,1.0
2016-09-16,1.0
2016-09-17,1.0
2016-09-19,25.0
2016-09-19,1.0
2016-09-19,1.0
2016-09-20,1.0
2016-09-20,1.0
2016-09-20,1.0
2016-09-22,1.0
2016-09-22,1.0
2016-09-23,1.0
2016-09-24,
2016-09-27,1.0
2016-09-28,1.0
2016-09-30,1.0
2016-10-02,1.0
2016-10-06,1.0
2016-10-10,1.0
2016-10-10,1.0
2016-10-11,1.0
2016-10-12,1.0
2016-10-12,1.0
2016-10-14,1.0
2016-10-14,1.0
2016-10-14,1.0
2016-10-14,1.0
2016-10-19,1.0
2016-10-19,1.0
2016-10-19,1.0
2016-10-22,1.0
2016-10-22,1.0
2016-10-23,1.0
2016-10-24,2.0
2016-10-24,1.0
2016-10-25,1.0
2016-10-27,1.0
2016-10-29,1.0
2016-10-31,1.0
2016-11-04,1.0
2016-11-04,1.0
2016-11-09,1.0
2016-11-12,1.0
2016-11-16,1.0
2016-11-16,1.0
2016-11-17,1.0
2016-11-21,1.0
2016-11-23,1.0
2016-11-23,1.0
2016-11-18,5.0
2016-11-27,1.0
2016-11-29,1.0
2016-12-07,1.0
2016-12-08,1.0
2016-12-14,1.0
2016-12-14,1.0
2016-12-16,1.0
2016-12-16,1.0
2016-12-19,1.0
2016-12-19,1.0
2016-12-20,1.0
2016-12-20,1.0
2016-12-20,1.0
2016-12-21,1.0
2016-12-22,1.0
2016-12-25,1.0
2016-12-28,1.0
2016-12-30,1.0
2016-12-31,18.0
2016-12-31,16.0
2016-08-11,1.0
2016-01-17,1.0
2016-04-07,1.0
2016-06-20,1.0
2016-06-27,1.0
2016-07-21,1.0
2016-07-30,1.0
2016-07-30,1.0
2016-08-09,1.0
2016-08-10,1.0
2016-09-16,1.0
2016-09-30,1.0
2016-10-17,1.0
2016-11-08,1.0
2016-11-08,1.0
2017-01-02,1.0
2017-01-03,1.0
2017-01-03,1.0
2017-01-04,1.0
2017-01-07,1.0
2017-01-07,1.0
2017-01-07,1.0
2017-01-08,1.0
2017-01-09,1.0
2017-01-09,1.0
2017-01-10,1.0
2017-01-11,1.0
2017-01-13,1.0
2017-01-13,1.0
2017-01-13,1.0
2017-01-15,1.0
2017-01-16,1.0
2017-01-17,1.0
2017-01-17,1.0
2017-01-18,1.0
2017-01-18,1.0
2017-01-18,1.0
2017-01-18,1.0
2017-01-19,1.0
2017-01-21,
2017-01-23,1.0
2017-01-23,1.0
2017-01-24,1.0
2017-01-24,1.0
2017-01-25,1.0
2017-01-26,1.0
2017-01-26,1.0
2017-01-27,1.0
2017-01-27,1.0
2017-01-27,1.0
2017-01-29,1.0
2017-11-19,1.0
2017-11-19,1.0
2017-01-30,1.0
2017-01-30,1.0
2017-01-30,1.0
2017-01-31,1.0
2017-01-31,1.0
2017-02-01,1.0
2017-02-01,1.0
2017-02-01,1.0
2017-02-05,1.0
2017-02-05,1.0
2017-02-06,1.0
2017-02-06,1.0
2017-02-08,1.0
2017-02-09,1.0
2017-02-09,1.0
2017-02-10,1.0
2017-02-10,1.0
2017-02-10,1.0
2017-02-11,1.0
2017-02-12,1.0
2017-02-12,1.0
2017-02-13,1.0
2017-02-14,1.0
2017-02-17,1.0
2017-02-17,1.0
2017-02-18,1.0
2017-02-19,1.0
2017-02-20,1.0
2017-02-22,1.0
2017-02-23,1.0
2017-02-23,2.0
2017-02-24,1.0
2017-02-25,1.0
2017-02-27,1.0
2017-02-28,1.0
2017-02-28,1.0
2017-03-01,1.0
2017-03-06,1.0
2017-03-07,1.0
2017-03-10,1.0
2017-03-10,1.0
2017-03-13,2.0
2017-03-15,1.0
